title,genre,rating,duration,year,liked
Crimson Night,Animation,6.7,176,2004,0
Secret Destiny,Fantasy,9.4,94,2016,1
Final Game,Thriller,8.4,148,1988,0
Lonely Echo,Romance,9.3,124,2002,0
Midnight Light,Sci-Fi,8.8,169,1993,1
Lost Night,Sci-Fi,7.2,95,1993,0
Dark Dream,Crime,5.7,143,2017,1
Final Legacy,Animation,8.7,113,1992,1
Secret River,Thriller,8.6,103,2023,0
Silent Storm,Adventure,8.4,133,1990,0
Final Light,Fantasy,8.5,91,2004,0
Ancient Light,Comedy,8.2,171,2013,0
Broken Path,Sci-Fi,7.6,119,1994,0
Frozen Journey,Romance,7.3,127,2009,0
Hidden Horizon,Adventure,7,104,2000,0
Burning Dream,Action,5.8,130,2021,1
Final Promise,Action,8.6,103,1994,1
Lonely River,Sci-Fi,7.7,177,2011,0
Crimson Light,Animation,7.7,165,2015,0
Final Dream,Drama,8.9,168,1989,1
Broken Dream,Adventure,7.5,90,2003,1
Fallen Light,Sci-Fi,6.8,171,2017,1
Last Destiny,Action,7.5,138,1988,1
Broken Legacy,Crime,8.5,87,2005,1
Dark Path,Crime,8.8,163,1986,1
Brave Night,Adventure,7.4,165,1985,0
Rising Light,Fantasy,7.6,157,2015,0
Brave Journey,Animation,7.2,139,2013,0
Brave City,Romance,6.3,139,2010,1
Ancient Game,Action,7.4,153,1992,0
Secret Dream,Comedy,5.5,124,2004,0
Burning Destiny,Comedy,5.5,144,1996,0
Rising Promise,Sci-Fi,7.4,136,1990,1
Golden Horizon,Thriller,9,89,1990,0
Shadow Light,Adventure,6.9,121,2024,1
Crimson Memory,Drama,8.6,171,2019,1
Silent Dream,Fantasy,7.2,164,1996,0
Broken Echo,Thriller,7.9,107,2008,0
Ancient City,Crime,6.2,99,2004,1
Ancient Memory,Sci-Fi,5.9,141,2011,0
Midnight World,Romance,5.6,135,2008,0
Rising Storm,Animation,8.8,134,1996,0
Brave Promise,Adventure,6.2,90,2024,0
Crimson Truth,Animation,6.6,164,2003,1
Final City,Fantasy,9.3,141,2021,1
Midnight Path,Romance,8.1,97,2024,1
Golden Legacy,Romance,6.6,118,1989,0
Eternal City,Crime,9.1,126,2005,0
Shadow Journey,Romance,6.8,126,1990,1
Fallen Night,Crime,7.2,133,2023,1
Burning Truth,Drama,9,142,1990,0
Lonely Night,Action,8.3,166,2001,0
Brave Path,Fantasy,9.4,94,2002,1
Secret City,Fantasy,6.7,139,2018,1
Ancient Journey,Fantasy,9,91,1988,1
Ancient River,Adventure,5.7,128,2005,0
Shadow Flame,Comedy,7.5,120,2008,1
Golden Empire,Romance,8.7,141,2009,1
Frozen Storm,Thriller,8.4,175,1999,0
Lonely Game,Action,7.4,129,1991,0
Secret Storm,Action,8,100,1988,1
Silent River,Adventure,9.1,128,1987,1
Shadow Legacy,Sci-Fi,8.2,94,2013,1
Lost Flame,Romance,6.8,134,1995,1
Hidden Empire,Thriller,9.5,91,2012,1
Golden City,Fantasy,6.1,136,2007,0
Shadow Echo,Action,7,130,2014,1
Lost Journey,Crime,7.2,148,1996,0
Last Flame,Fantasy,6.8,93,1988,1
Ancient Legacy,Comedy,6.9,114,1996,0
Final Flame,Animation,6.9,148,2018,1
Shadow Kingdom,Drama,5.6,111,2024,1
Rising Legacy,Animation,8.2,126,1989,1
Shadow Dream,Animation,5.5,127,1994,0
Last Echo,Comedy,7.6,145,2015,0
Rising Night,Drama,5.5,173,1985,0
Silent Night,Adventure,8.8,172,1999,0
Frozen Horizon,Drama,6.1,169,2002,0
Golden Kingdom,Adventure,7.5,112,2004,0
Burning World,Romance,6.8,133,1997,0
Dark Empire,Drama,7.1,180,2010,1
Burning Storm,Crime,6.7,103,1997,0
Ancient Horizon,Fantasy,6.4,157,2022,0
Lost Promise,Adventure,7.5,106,1994,1
Silent Empire,Romance,8.1,158,2017,1
Hidden Kingdom,Crime,8.7,176,2001,1
Eternal Empire,Thriller,8.5,121,2015,0
Hidden Dream,Romance,7.7,107,2012,1
